pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
59112.0,54910.0,56222.0,58132.0
58867.0,55181.0,56372.0,56461.0
58201.0,56165.0,56163.0,56087.0
56684.0,54510.0,56781.0,56688.0
57009.0,53095.0,55439.0,57393.0
55578.0,53727.0,56650.0,54920.0
55659.0,55330.0,54943.0,52480.0
54466.0,53232.0,55185.0,53424.0
54540.0,52359.0,55725.0,54060.0
53524.0,54258.0,55301.0,51880.0
53860.0,55143.0,55451.0,50147.0
54551.0,54154.0,54900.0,50794.0
54425.0,54897.0,54870.0,50997.0
56402.0,55484.0,53296.0,50039.0
55399.0,56310.0,55026.0,49831.0
54688.0,56503.0,55863.0,49428.0
56539.0,56577.0,54551.0,49227.0
56946.0,56730.0,53594.0,49769.0
54598.0,58045.0,54780.0,48231.0
53591.0,54971.0,56669.0,50869.0
55109.0,57460.0,54623.0,46698.0
54251.0,55150.0,55344.0,49776.0
56416.0,56216.0,52208.0,47476.0
54802.0,56462.0,52487.0,46830.0
53740.0,55440.0,52956.0,45775.0
53228.0,55316.0,53347.0,45755.0
49958.0,55912.0,55139.0,44030.0
52048.0,54723.0,53483.0,45115.0
52637.0,55293.0,52077.0,44425.0
53034.0,52949.0,51937.0,46128.0
51536.0,52112.0,52602.0,46691.0
50884.0,52834.0,53292.0,45505.0
50696.0,52195.0,53085.0,47078.0
51066.0,52763.0,53246.0,45473.0
52542.0,52755.0,52454.0,46025.0
55452.0,52449.0,49056.0,47360.0
56611.0,52584.0,48007.0,46726.0
57147.0,48587.0,49614.0,48936.0
53557.0,52260.0,52097.0,47281.0
53565.0,50923.0,51966.0,49642.0
